sensor,plume_id,datetime,lat,lon,emission_kg_hr,uncertainty_kg_hr,max_conc_ppm_m,sector,source,in_common_window
Tanager,tan20260608t043254c92s4001-A,2026-06-08 04:32:54.920000+00:00,-6.136807643898095,106.61804535226764,,,,6A,CarbonMapper API,True
Tanager,tan20260608t043254c92s4001-B,2026-06-08 04:32:54.920000+00:00,-6.566705774941752,106.64318741503132,,,,6A,CarbonMapper API,True
Tanager,tan20260608t043254c92s4001-C,2026-06-08 04:32:54.920000+00:00,-6.102690977335143,106.54295513516684,542.8486403151863,536.0749606269263,,6A,CarbonMapper API,True
Tanager,tan20260606t041902c87s4001-A,2026-06-06 04:19:02.870000+00:00,3.371999690899486,113.04678273310331,3523.915576188956,548.5095981173706,,1B2,CarbonMapper API,True
Tanager,tan20260605t045916c64s4001-A,2026-06-05 04:59:16.640000+00:00,7.591558046386467,102.98789095329136,4870.34148317388,655.5564883839921,,1B2,CarbonMapper API,True
Tanager,tan20260605t045535c95s4001-A,2026-06-05 04:55:35.950000+00:00,20.816263929514815,106.75242562638796,951.5667238444468,395.91743273410094,,6A,CarbonMapper API,True
Tanager,tan20260604t040915c39s4001-A,2026-06-04 04:09:15.390000+00:00,-2.220561787121468,115.48480760364151,,,,1B1a,CarbonMapper API,True
Tanager,tan20260531t051516c36s4001-A,2026-05-31 05:15:16.360000+00:00,14.056172764347266,99.96559174867208,,,,6A,CarbonMapper API,True
Tanager,tan20260531t051516c36s4001-B,2026-05-31 05:15:16.360000+00:00,14.053846523968076,99.96095687210322,,,,6A,CarbonMapper API,True
Tanager,tan20260531t034710c72s4001-A,2026-05-31 03:47:10.720000+00:00,-5.175556639458776,119.49097691438855,,,,6A,CarbonMapper API,True
Tanager,tan20260531t034151c23s4001-A,2026-05-31 03:41:51.230000+00:00,14.768483777525717,121.15612632428144,2972.773380224693,393.88680144572896,,6A,CarbonMapper API,True
Tanager,tan20260531t034151c23s4001-B,2026-05-31 03:41:51.230000+00:00,14.68993575708329,121.16437483251524,,,,6A,CarbonMapper API,True
Tanager,tan20260530t042114c47s4001-A,2026-05-30 04:21:14.470000+00:00,22.547349884160724,114.17434955788684,,,,6A,CarbonMapper API,True
Tanager,tan20260530t042114c47s4001-B,2026-05-30 04:21:14.470000+00:00,22.544536022827984,114.17079011955252,,,,6A,CarbonMapper API,True
Tanager,tan20260528t041352c64s4001-A,2026-05-28 04:13:52.640000+00:00,4.739404707884404,113.74136887274676,1004.4169028903834,123.09246398779968,,1B2,CarbonMapper API,True
Tanager,tan20260528t041352c64s4001-B,2026-05-28 04:13:52.640000+00:00,4.437412180604099,113.8020618967888,451.5281081340096,57.935818859717685,,1B2,CarbonMapper API,True
Tanager,tan20260528t040917c46s4001-A,2026-05-28 04:09:17.460000+00:00,23.44270349396227,116.59965706247203,530.3834285306732,102.05818621698948,,6A,CarbonMapper API,True
Tanager,tan20260527t045032c51s4001-A,2026-05-27 04:50:32.510000+00:00,21.33420332662959,105.83572596680584,726.3645829237082,99.99246795309926,,6A,CarbonMapper API,True
Tanager,tan20260526t040339c78s4001-A,2026-05-26 04:03:39.780000+00:00,-2.220688385167577,115.4848613090245,618.7795274094163,91.15455337577453,,1B1a,CarbonMapper API,True
Tanager,tan20260524t034710c82s4001-A,2026-05-24 03:47:10.820000+00:00,14.69033146080551,121.16517385501272,1421.8592595792147,384.1714203165113,,6A,CarbonMapper API,True
Tanager,tan20260524t034710c82s4001-B,2026-05-24 03:47:10.820000+00:00,14.690083474190756,121.16375843894218,,,,6A,CarbonMapper API,True
Tanager,tan20260523t043329c54s4001-A,2026-05-23 04:33:29.540000+00:00,-6.821769072192993,109.03184354788964,166.91637125892103,88.21623486199184,,6A,CarbonMapper API,True
Tanager,tan20260523t043139c14s4001-A,2026-05-23 04:31:39.140000+00:00,1.377739729557675,110.34484097653126,797.8625231316446,437.9311267229613,,6A,CarbonMapper API,True
Tanager,tan20260522t051223c46s4001-A,2026-05-22 05:12:23.460000+00:00,3.718450515723546,98.64937291810172,83.50555623391077,37.974292118803504,,6A,CarbonMapper API,True
Tanager,tan20260521t041956c05s4001-A,2026-05-21 04:19:56.050000+00:00,1.377222775419426,110.3419699362575,156.56746523485725,50.659582935925066,,6A,CarbonMapper API,True
Tanager,tan20260514t042633c39s4001-A,2026-05-14 04:26:33.390000+00:00,-6.800242911853587,107.35234193388784,,,,6A,CarbonMapper API,True
Tanager,tan20260514t042633c39s4001-B,2026-05-14 04:26:33.390000+00:00,-6.801098867772438,107.34780268606312,250.26391462540224,135.8032279833646,,6A,CarbonMapper API,True
Tanager,tan20260514t042633c39s4001-C,2026-05-14 04:26:33.390000+00:00,-6.800571741816071,107.35067784273888,562.5112723110051,274.2428769759652,,6A,CarbonMapper API,True
Tanager,tan20260511t045037c28s4001-A,2026-05-11 04:50:37.280000+00:00,10.664129981086576,106.67060776978406,2055.4806747338525,342.2657211861639,,6A,CarbonMapper API,True
Tanager,tan20260509t043903c55s4001-A,2026-05-09 04:39:03.550000+00:00,10.66418225400254,106.67130870844358,1240.3870092845805,218.8811654394229,,6A,CarbonMapper API,True
Tanager,tan20260509t043822c44s4001-A,2026-05-09 04:38:22.440000+00:00,10.57980081078692,107.1330252928662,800.9884560099242,163.7064141842663,,6A,CarbonMapper API,True
Tanager,tan20260507t042325c51s4001-A,2026-05-07 04:23:25.510000+00:00,22.549360099061445,114.17184835004169,,,,6A,CarbonMapper API,True
Tanager,tan20260507t042325c51s4001-B,2026-05-07 04:23:25.510000+00:00,22.54856512513618,114.1739074674304,1446.505639012197,113.22231754513454,,6A,CarbonMapper API,True
Tanager,tan20260504t045714c30s4001-A,2026-05-04 04:57:14.300000+00:00,1.658444544211534,103.71998915989576,,,,6A,CarbonMapper API,True
Tanager,tan20260425t044805c63s4001-A,2026-04-25 04:48:05.630000+00:00,1.659235724479714,103.7164382895163,,,,6A,CarbonMapper API,True
Tanager,tan20260425t044611c40s4001-A,2026-04-25 04:46:11.400000+00:00,10.581294956967229,107.13068796805368,1095.3491219628231,197.79678842776516,,6A,CarbonMapper API,True
Tanager,tan20260421t042433c00s4001-B,2026-04-21 04:24:33+00:00,-6.350018031926993,106.998012072523,,,,6A,CarbonMapper API,True
Tanager,tan20260421t042433c00s4001-C,2026-04-21 04:24:33+00:00,-6.346827871990484,106.99509988083912,,,,6A,CarbonMapper API,True
Tanager,tan20260421t042433c00s4001-D,2026-04-21 04:24:33+00:00,-6.350851865546446,107.02009413757372,,,,6A,CarbonMapper API,True
Tanager,tan20260418t045000c61s4001-A,2026-04-18 04:50:00.610000+00:00,1.65990137900215,103.71738965722204,1080.5846236553214,722.4107090270909,,6A,CarbonMapper API,True
Tanager,tan20260417t035752c65s4001-A,2026-04-17 03:57:52.650000+00:00,-2.220960732124155,115.48462999600316,783.6675326613782,164.55513406695565,,1B1a,CarbonMapper API,True
Tanager,tan20260416t043849c10s4001-A,2026-04-16 04:38:49.100000+00:00,-6.105243302174401,106.54389437128071,546.7624181424014,116.36504915074376,,6A,CarbonMapper API,True
Tanager,tan20260416t043447c36s4001-A,2026-04-16 04:34:47.360000+00:00,10.664761858403992,106.67102638965105,,,,6A,CarbonMapper API,True
Tanager,tan20260414t042604c61s4001-A,2026-04-14 04:26:04.610000+00:00,-6.566879741440857,106.6435719130194,,,,6A,CarbonMapper API,True
Tanager,tan20260413t045900c60s4001-A,2026-04-13 04:59:00.600000+00:00,21.127806007888,105.4281198940501,,,,other,CarbonMapper API,True
Tanager,tan20260413t045900c60s4001-B,2026-04-13 04:59:00.600000+00:00,21.130266371449466,105.42431972762296,,,,6A,CarbonMapper API,True
Tanager,tan20260412t041030c66s4001-A,2026-04-12 04:10:30.660000+00:00,4.739291793475175,113.74127997822065,5104.899230473652,1483.8333586213214,,1B2,CarbonMapper API,True
